name,slug,value,date_of_information,ranking,region
"Syria","syria","$98,858,000,000","2023",97,"Middle East"
"Sudan","sudan","$94,420,000,000","2024",98,"Africa"
"Bahrain","bahrain","$93,937,000,000","2024",99,"Middle East"
"Georgia","georgia","$91,849,000,000","2024",100,"Central Asia"
"Libya","libya","$90,609,000,000","2024",101,"Africa"
"Luxembourg","luxembourg","$86,871,000,000","2024",102,"Europe"
"Senegal","senegal","$83,183,000,000","2024",103,"Africa"
"Afghanistan","afghanistan","$82,238,000,000","2023",104,"South Asia"
"Cuba","cuba","$81,165,000,000","2024",105,"Central America and the Caribbean"
"Zambia","zambia","$79,207,000,000","2024",106,"Africa"
"Macau","macau","$77,524,000,000","2024",107,"East and Southeast Asia"
"El Salvador","el-salvador","$73,961,000,000","2024",108,"Central America and the Caribbean"
"Latvia","latvia","$72,516,000,000","2024",109,"Europe"
"Honduras","honduras","$71,297,000,000","2024",110,"Central America and the Caribbean"
"Mali","mali","$71,253,000,000","2024",111,"Africa"
"Laos","laos","$66,905,000,000","2024",112,"East and Southeast Asia"
"Lebanon","lebanon","$65,415,000,000","2023",113,"Middle East"
"Bosnia and Herzegovina","bosnia-and-herzegovina","$64,641,000,000","2024",114,"Europe"
"Armenia","armenia","$60,909,000,000","2024",115,"Central Asia"
"Burkina Faso","burkina-faso","$60,001,000,000","2024",116,"Africa"
"Guinea","guinea","$59,439,000,000","2024",117,"Africa"
"Mongolia","mongolia","$59,221,000,000","2024",118,"East and Southeast Asia"
"Guyana","guyana","$58,423,000,000","2024",119,"South America"
"Zimbabwe","zimbabwe","$57,391,000,000","2024",120,"Africa"
"Estonia","estonia","$57,001,000,000","2024",121,"Europe"
"Benin","benin","$56,424,000,000","2024",122,"Africa"
"Nicaragua","nicaragua","$52,989,000,000","2024",123,"Central America and the Caribbean"
"Madagascar","madagascar","$52,968,000,000","2024",124,"Africa"
"Chad","chad","$52,895,000,000","2024",125,"Africa"
"Mozambique","mozambique","$51,786,000,000","2024",126,"Africa"
"Albania","albania","$51,360,000,000","2024",127,"Europe"
"Kyrgyzstan","kyrgyzstan","$50,907,000,000","2024",128,"Central Asia"
"Tajikistan","tajikistan","$50,370,000,000","2024",129,"Central Asia"
"Cyprus","cyprus","$50,055,000,000","2024",130,"Europe"
"Gabon","gabon","$48,045,000,000","2024",131,"Africa"
"Niger","niger","$47,921,000,000","2024",132,"Africa"
"Rwanda","rwanda","$46,543,000,000","2024",133,"Africa"
"Botswana","botswana","$45,553,000,000","2024",134,"Africa"
"Papua New Guinea","papua-new-guinea","$45,487,000,000","2024",135,"East and Southeast Asia"
"North Macedonia","north-macedonia","$43,844,000,000","2024",136,"Europe"
"Trinidad and Tobago","trinidad-and-tobago","$43,362,000,000","2024",137,"Central America and the Caribbean"
"Moldova","moldova","$39,342,000,000","2024",138,"Europe"
"Congo, Republic of the","congo-republic-of-the","$39,147,000,000","2024",139,"Africa"
"Brunei","brunei","$36,640,000,000","2024",140,"East and Southeast Asia"
"Malawi","malawi","$35,425,000,000","2024",141,"Africa"
"Malta","malta","$34,731,000,000","2024",142,"Europe"
"Mauritius","mauritius","$34,406,000,000","2024",143,"Africa"
"Mauritania","mauritania","$33,069,000,000","2024",144,"Africa"
"Haiti","haiti","$32,971,000,000","2024",145,"Central America and the Caribbean"
"Namibia","namibia","$31,154,000,000","2024",146,"Africa"
"Equatorial Guinea","equatorial-guinea","$29,248,000,000","2024",147,"Africa"
"Jamaica","jamaica","$29,130,000,000","2024",148,"Central America and the Caribbean"
"Togo","togo","$27,115,000,000","2024",149,"Africa"
"Somalia","somalia","$26,770,000,000","2024",150,"Africa"
"Sierra Leone","sierra-leone","$26,728,000,000","2024",151,"Africa"
"Iceland","iceland","$26,561,000,000","2024",152,"Europe"
"Kosovo","kosovo","$25,019,000,000","2024",153,"Europe"
"West Bank","west-bank","$20,339,000,000","2024",154,"Middle East"
"Gaza Strip","gaza-strip","$20,339,000,000","2024",155,"Middle East"
"Yemen","yemen","$18,719,000,000","2024",156,"Middle East"
"Montenegro","montenegro","$17,375,000,000","2024",157,"Europe"
"Korea, North","korea-north","$15,416,000,000","2023",158,"East and Southeast Asia"
"Bahamas, The","bahamas-the","$14,544,000,000","2024",159,"Central America and the Caribbean"
"Fiji","fiji","$13,100,000,000","2024",160,"Australia and Oceania"
"Eswatini","eswatini","$12,885,000,000","2024",161,"Africa"
"Maldives","maldives","$12,325,000,000","2024",162,"South Asia"
"Suriname","suriname","$12,316,000,000","2024",163,"South America"
"Burundi","burundi","$11,739,000,000","2024",164,"Africa"
"Bhutan","bhutan","$11,517,000,000","2023",165,"South Asia"
"Liberia","liberia","$9,308,000,000","2024",166,"Africa"
"Monaco","monaco","$8,924,000,000","2024",167,"Europe"
"New Caledonia","new-caledonia","$8,469,000,000","2024",168,"Australia and Oceania"
"Gambia, The","gambia-the","$8,365,000,000","2024",169,"Africa"
"Djibouti","djibouti","$7,995,000,000","2024",170,"Africa"
"Liechtenstein","liechtenstein","$7,172,000,000","2024",171,"Europe"
"Bermuda","bermuda","$6,808,000,000","2024",172,"North America"
"South Sudan","south-sudan","$6,752,000,000","2023",173,"Africa"
"Lesotho","lesotho","$6,166,000,000","2024",174,"Africa"
"French Polynesia","french-polynesia","$6,007,000,000","2024",175,"Australia and Oceania"
"Central African Republic","central-african-republic","$5,926,000,000","2024",176,"Africa"
"Guinea-Bissau","guinea-bissau","$5,912,000,000","2024",177,"Africa"
"Timor-Leste","timor-leste","$5,863,000,000","2024",178,"East and Southeast Asia"
"Cayman Islands","cayman-islands","$5,705,000,000","2023",179,"Central America and the Caribbean"
"Barbados","barbados","$5,634,000,000","2024",180,"Central America and the Caribbean"
"Jersey","jersey","$5,569,000,000","2016",181,"Europe"
"Belize","belize","$5,538,000,000","2024",182,"Central America and the Caribbean"
"Andorra","andorra","$5,402,000,000","2024",183,"Europe"
"Cabo Verde","cabo-verde","$5,200,000,000","2024",184,"Africa"
"Virgin Islands","virgin-islands","$4,900,000,000","2022",185,"Central America and the Caribbean"
"Saint Lucia","saint-lucia","$4,359,000,000","2024",186,"Central America and the Caribbean"
"Aruba","aruba","$4,350,000,000","2023",187,"Central America and the Caribbean"
"Curacao","curacao","$4,312,000,000","2023",188,"Central America and the Caribbean"
"Greenland","greenland","$4,040,000,000","2023",189,"North America"
"Faroe Islands","faroe-islands","$3,834,000,000","2023",190,"Europe"
"Seychelles","seychelles","$3,549,000,000","2024",191,"Africa"
"Comoros","comoros","$3,092,000,000","2024",192,"Africa"
"Antigua and Barbuda","antigua-and-barbuda","$2,772,000,000","2024",193,"Central America and the Caribbean"
"Eritrea","eritrea","$2,534,000,000","2024",194,"Africa"
"San Marino","san-marino","$2,393,000,000","2022",195,"Europe"
"Grenada","grenada","$2,080,000,000","2024",196,"Central America and the Caribbean"
"Solomon Islands","solomon-islands","$2,070,000,000","2024",197,"Australia and Oceania"
"Sint Maarten","sint-maarten","$1,986,000,000","2024",198,"Central America and the Caribbean"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","$1,883,000,000","2024",199,"Central America and the Caribbean"
"British Virgin Islands","british-virgin-islands","$1,634,000,000","2024",200,"Central America and the Caribbean"
"Turks and Caicos Islands","turks-and-caicos-islands","$1,554,000,000","2024",201,"Central America and the Caribbean"
"Samoa","samoa","$1,503,000,000","2024",202,"Australia and Oceania"
"Saint Kitts and Nevis","saint-kitts-and-nevis","$1,465,000,000","2024",203,"Central America and the Caribbean"
"Sao Tome and Principe","sao-tome-and-principe","$1,291,000,000","2024",204,"Africa"
"Northern Mariana Islands","northern-mariana-islands","$1,242,000,000","2016",205,"Australia and Oceania"
"Dominica","dominica","$1,241,000,000","2024",206,"Central America and the Caribbean"
"Vanuatu","vanuatu","$1,039,000,000","2024",207,"Australia and Oceania"
"Tonga","tonga","$740,082,000","2023",208,"Australia and Oceania"
"American Samoa","american-samoa","$658,000,000","2016",209,"Australia and Oceania"
"Kiribati","kiribati","$438,143,000","2024",210,"Australia and Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","$432,679,000","2024",211,"Australia and Oceania"
"Cook Islands","cook-islands","$401,155,000","2024",212,"Australia and Oceania"
"Anguilla","anguilla","$362,499,000","2024",213,"Central America and the Caribbean"
"Palau","palau","$280,025,000","2023",214,"Australia and Oceania"
"Marshall Islands","marshall-islands","$270,809,000","2024",215,"Australia and Oceania"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","$261,300,000","2015",216,"North America"
"Nauru","nauru","$150,581,000","2024",217,"Australia and Oceania"
"Montserrat","montserrat","$89,254,000","2024",218,"Central America and the Caribbean"
"Tuvalu","tuvalu","$57,055,000","2023",219,"Australia and Oceania"
"Niue","niue","$18,700,000","2021",220,"Australia and Oceania"
"Tokelau","tokelau","$7,711,583","2017",221,"Australia and Oceania"
